order_date,order_id,order_line,quantity,price,total_price,model,category_1,category_2,frame_material,bikeshop_name,city,state,model_base,black,hi_mod,team,red,ultegra,dura_ace,disc
2011-01-07,1,1,1,6070,6070,Jekyll Carbon 2,Mountain,Over Mountain,Carbon,Ithaca Mountain Climbers,Ithaca,NY,Jekyll,0,0,0,0,0,0,0
2011-01-07,1,2,1,5970,5970,Trigger Carbon 2,Mountain,Over Mountain,Carbon,Ithaca Mountain Climbers,Ithaca,NY,Trigger,0,0,0,0,0,0,0
2011-01-10,2,1,1,2770,2770,Beast of the East 1,Mountain,Trail,Aluminum,Kansas City 29ers,Kansas City,KS,Beast of the East,0,0,0,0,0,0,0
2011-01-10,3,1,1,10660,10660,Supersix Evo Hi-Mod Team,Road,Elite Road,Carbon,Louisville Race Equipment,Louisville,KY,Supersix Evo,0,1,1,0,0,0,0
2011-01-10,3,2,1,3200,3200,Jekyll Carbon 4,Mountain,Over Mountain,Carbon,Louisville Race Equipment,Louisville,KY,Jekyll,0,0,0,0,0,0,0
2011-01-10,3,3,1,12790,12790,Supersix Evo Black Inc.,Road,Elite Road,Carbon,Louisville Race Equipment,Louisville,KY,Supersix Evo,1,0,0,0,0,0,0
2011-01-10,3,4,1,5330,5330,Supersix Evo Hi-Mod Dura Ace 2,Road,Elite Road,Carbon,Louisville Race Equipment,Louisville,KY,Supersix Evo,0,1,0,0,0,1,0
2011-01-10,3,5,1,1570,1570,Synapse Disc 105,Road,Endurance Road,Aluminum,Louisville Race Equipment,Louisville,KY,Synapse,0,0,0,0,0,0,1
2011-01-11,4,1,1,4800,4800,Synapse Carbon Disc Ultegra D12,Road,Endurance Road,Carbon,Ann Arbor Speed,Ann Arbor,MI,Synapse,0,0,0,0,1,0,1
2011-01-11,5,1,1,480,480,Catalyst 3,Mountain,Sport,Aluminum,Denver Bike Shop,Denver,CO,Catalyst,0,0,0,0,0,0,0
2011-01-11,5,2,2,11190,22380,F-Si Black Inc.,Mountain,Cross Country Race,Carbon,Denver Bike Shop,Denver,CO,F-Si,1,0,0,0,0,0,0
