order_date;order_id;order_line;quantity;price;total_price;model;category_1;category_2;frame_material;bikeshop_name;city;state
2011-01-07;1;1;1;6070;6070;Jekyll Carbon 2;Mountain;Over Mountain;Carbon;Ithaca Mountain Climbers;Ithaca;NY
2011-01-07;1;2;1;5970;5970;Trigger Carbon 2;Mountain;Over Mountain;Carbon;Ithaca Mountain Climbers;Ithaca;NY
2011-01-10;2;1;1;2770;2770;Beast of the East 1;Mountain;Trail;Aluminum;Kansas City 29ers;Kansas City;KS
2011-01-10;2;2;1;5970;5970;Trigger Carbon 2;Mountain;Over Mountain;Carbon;Kansas City 29ers;Kansas City;KS
2011-01-10;3;1;1;10660;10660;Supersix Evo Hi-Mod Team;Road;Elite Road;Carbon;Louisville Race Equipment;Louisville;KY
2011-01-10;3;2;1;3200;3200;Jekyll Carbon 4;Mountain;Over Mountain;Carbon;Louisville Race Equipment;Louisville;KY
2011-01-10;3;3;1;12790;12790;Supersix Evo Black Inc.;Road;Elite Road;Carbon;Louisville Race Equipment;Louisville;KY
2011-01-10;3;4;1;5330;5330;Supersix Evo Hi-Mod Dura Ace 2;Road;Elite Road;Carbon;Louisville Race Equipment;Louisville;KY
2011-01-10;3;5;1;1570;1570;Synapse Disc 105;Road;Endurance Road;Aluminum;Louisville Race Equipment;Louisville;KY
2011-01-11;4;1;1;4800;4800;Synapse Carbon Disc Ultegra D12;Road;Endurance Road;Carbon;Ann Arbor Speed;Ann Arbor;MI
2011-01-11;5;1;1;480;480;Catalyst 3;Mountain;Sport;Aluminum;Denver Bike Shop;Denver;CO
2011-01-11;5;2;2;11190;22380;F-Si Black Inc.;Mountain;Cross Country Race;Carbon;Denver Bike Shop;Denver;CO
2011-01-11;5;3;1;1250;1250;Synapse Disc Tiagra;Road;Endurance Road;Aluminum;Denver Bike Shop;Denver;CO
2011-01-11;5;4;1;2060;2060;F-Si 2;Mountain;Cross Country Race;Aluminum;Denver Bike Shop;Denver;CO
2011-01-11;6;1;1;1960;1960;SuperX 105;Road;Cyclocross;Carbon;Phoenix Bi-peds;Phoenix;AZ
2011-01-11;6;2;1;4500;4500;Slice Hi-Mod Dura Ace D12;Road;Triathalon;Carbon;Phoenix Bi-peds;Phoenix;AZ
2011-01-11;6;3;1;2340;2340;Habit 5;Mountain;Trail;Aluminum;Phoenix Bi-peds;Phoenix;AZ
2011-01-11;6;4;1;2240;2240;Synapse Carbon 105;Road;Endurance Road;Carbon;Phoenix Bi-peds;Phoenix;AZ
2011-01-12;7;1;1;10660;10660;Supersix Evo Hi-Mod Team;Road;Elite Road;Carbon;Minneapolis Bike Shop;Minneapolis;MN
